bundle,outcome,stress,N,clusters,n_exog,n_instruments,iv_b,iv_se,iv_p,first_stage_f,partial_r2,ar_zero_p,sargan_p,wooldridge_overid_p
geo_plus_rawsurvey,asinh_rentin,channel_labor_cost_main,2526.0,128.0,14.0,2.0,0.5890202324519686,0.2462571984996341,0.0167618462791048,9.34052978630387,0.2470279296901955,0.0068390292805407,0.0134509168164519,0.218088439069386
geo_plus_rawsurvey,any_rentin,channel_rent_main,2532.0,128.0,13.0,2.0,0.1526647437012472,0.1150528764539254,0.1845386532533179,9.386348998824811,0.2459023520963232,0.081177645715805,0.3154791998339842,0.3242739918025279
geo_plus_rawsurvey,asinh_rentin,channel_rent_main,2526.0,128.0,13.0,2.0,0.4069871513659016,0.2420350361317608,0.0926616363696839,9.38795785252672,0.2459336857188638,0.0122205893417063,0.1522053686566513,0.063440821588123
geo_plus_rawsurvey,any_rentin,direct_geo_dev_main_trends,2532.0,128.0,14.0,2.0,0.261764978297883,0.1355910529100031,0.053539026479614,9.969924358108589,0.2751381167372617,0.0644421198357164,0.7447266485410087,0.7456496448784335
geo_plus_rawsurvey,asinh_rentin,direct_geo_dev_main_trends,2526.0,128.0,14.0,2.0,0.4955299077091734,0.250354070582087,0.0477803987714664,9.972646330446755,0.275296563351077,0.094920463811218,0.7049386032798008,0.626335497059126
geo_plus_rawsurvey,any_rentin,direct_geo_main_trends,2532.0,128.0,13.0,2.0,0.2612761342323821,0.1349857156005669,0.052918723408885,9.979153839497412,0.2752884540763887,0.0651749888308031,0.731043558150811,0.7355650622210861
geo_plus_rawsurvey,asinh_rentin,direct_geo_main_trends,2526.0,128.0,13.0,2.0,0.4917951866245804,0.2445372756597644,0.0443121868631535,9.982007417282755,0.2754504950552168,0.0827417862579529,0.609867088319284,0.4988401053124486
geo_plus_rawsurvey,any_rentin,direct_geo_trends_plus_Z,2532.0,128.0,18.0,2.0,0.0234421930846141,0.1138680380783051,0.8368912245882725,21.487539111658418,0.3516146603625451,0.0548610741916014,0.0549799644474792,0.0716965469577558
geo_plus_rawsurvey,asinh_rentin,direct_geo_trends_plus_Z,2526.0,128.0,18.0,2.0,0.0777682942540455,0.2055407546585687,0.7051635606401265,21.532674969839533,0.3518733430967223,0.5056770388236957,0.2396778925215761,0.215339233548941
geo_plus_rawsurvey,any_rentin,geo_dev_main_plus_gov_mobility,2532.0,128.0,17.0,2.0,0.2511686394052216,0.135143096630538,0.063092590483303,10.697977214186476,0.2925869950521725,0.1004466787282329,0.728895203135012,0.7256105082067733
geo_plus_rawsurvey,asinh_rentin,geo_dev_main_plus_gov_mobility,2526.0,128.0,17.0,2.0,0.5045258484596173,0.2517148608880639,0.0450320850363754,10.70066874195006,0.2927663229502022,0.0698641827327307,0.5553065118624725,0.4422605028678398
